,LR_Base,LR_Yeo,LR_Base_Random,LR_Yeo_Random,ElasticNet_LR_Base_optuna,ElasticNet_LR_Yeo_optuna,ElasticNet_LR_Base_Random_optuna,ElasticNet_LR_Yeo_Random_optuna,avg_importance
issuer_cntry_domicile_name_United States of America,0.009492557665258038,1.7438239626242287,0.013657821107165468,1.7570752946085022,0.02021216524501803,0.017001523585271704,0.020718476114935214,0.01695713022215608,0.4498673663965669
top_3_shareholder_location_Luxembourg,0.012571920604446585,1.3167793696024985,0.012002859795144826,1.281800585149799,0.007897409883182572,0.004921251774177071,0.007845975706979359,0.00481729555166609,0.33107958350848676
top_3_shareholder_location_United Kingdom,0.00022513400678315644,1.12813087312637,0.0006887514729826627,1.0966299394944639,0.0,-0.00022613972048682874,0.0,-0.0002627300782879427,0.27814822853772814
top_3_shareholder_location_Norway,-0.001627775781931995,1.0973820514750126,-0.0016467045434715665,1.0672783112929032,-0.0011608502599930626,-0.0010059480736475668,-0.0012112243532120814,-0.0010306969408505507,0.2696221453518511
top_3_shareholder_location_Ireland,-0.008914371233270013,0.9890773346979355,-0.008570502100585919,0.961274817638037,-0.004368836503275508,-0.005496524370704759,-0.004481756401342463,-0.005326479546099316,0.23914921027258682
issuer_cntry_domicile_name_Canada,0.0007396371084162801,0.39436160702170625,0.0010728106308837359,0.3923943769944506,0.0,0.0,0.0,0.0,0.09857105396943211
cntry_of_risk_JP,0.003499005820406209,0.37228214299285467,0.0034302088282308187,0.3788956677531637,0.014941221689277561,0.0002121525608084651,0.014924104054568444,0.00010913405900789819,0.09853670471978972
issuer_cntry_domicile_name_Japan,0.003499005820407297,0.37228214299283274,0.0034302088282316956,0.37889566775319283,0.014941221690356388,0.00021183055478787293,0.014924104054704878,0.00010863956370797956,0.09853660265727772
issuer_cntry_domicile_name_Hong Kong,0.0006924068986966736,0.33441489568870486,0.0012910695365372816,0.3361808570589006,0.00325810424172146,0.002133007590923164,0.003235395821283504,0.002190695156299283,0.08542455399913336
issuer_cntry_domicile_name_Switzerland,-0.0023626786442740187,0.3268833326605744,-0.002629339701704381,0.3290287285507943,-0.0010740320735242782,-0.0007067544957609084,-0.001136051263219162,-0.0005813605272727895,0.08092773056320166
top_1_shareholder_location_Japan,0.015343135004277175,0.1906165733788082,0.018284478264856407,0.18739855844881315,0.09709417787364662,0.009921063697018829,0.09624076138564605,0.008551265759300108,0.07793125172654582
issuer_cntry_domicile_name_Germany,-5.5574401812497066e-05,0.29904913432035163,-6.713865142745634e-05,0.30103666976608917,0.0003694454037684425,3.3231612582618197e-06,0.000352481604360344,0.0,0.0750860426503235
issuer_cntry_domicile_name_United Kingdom,0.008910917625348614,0.28001507681341115,0.006626426021012955,0.2820602616735327,0.0012817710787120461,0.0028887124087938697,0.00129648149928977,0.0027513244750593025,0.07322887144939505
top_3_shareholder_location_Canada,-0.004178021444206048,0.2153848193771018,-0.0040643027988892634,0.20952135775750688,-0.003271519491143793,-0.0033478651788686254,-0.003265427938629917,-0.003318206652155098,0.05043260420383949
top_2_shareholder_location_Luxembourg,0.03291517155886052,0.06242216056209175,0.032520759179177725,0.06272622718831311,0.048322037372712054,0.027189225100582016,0.04830448316157758,0.02675244575576896,0.04264406373488547
top_2_shareholder_percentage,0.0814084165622809,0.0,0.08156128479171605,0.0,0.08745214383527686,0.0,0.08780776189419295,0.0,0.04227870088543334
top_3_shareholder_location_Australia,0.000519071169326002,0.15153406605913114,0.0008293620711113503,0.14802902820720323,0.00019296892659623755,0.0017174463793298677,0.00023688049223520303,0.0016145326193481191,0.03808416949053515
top_1_shareholder_location_United States,-0.005543205253340977,0.15056049151998566,-0.004946587618971687,0.14618671447079817,0.0,0.0034431938992065423,0.0,0.002721341728364313,0.036552743593255256
issuer_cntry_domicile_name_Sweden,0.0003017881539259082,0.1278951657795488,0.0005319559274258423,0.13033455622348883,0.0,-6.941965721324328e-05,0.0,-1.966856437705111e-05,0.03237179723284988
cntry_of_risk_IN,0.0037895807476575616,0.10356463924672706,0.0038282450307597247,0.10499709009775451,0.007992310851981922,0.004220731165933511,0.008010110142469985,0.004162364012519038,0.030070633911975418
top_2_shareholder_location_United States,0.004921234723138168,0.12566933874177538,0.004537957435617257,0.12041277748015448,-0.004739167910300879,-0.0031117766303589756,-0.004769536102411276,-0.002852827101666999,0.030008500079493395
issuer_cntry_domicile_name_Italy,3.7031885502303296e-06,0.11339556111938558,2.291010615618205e-06,0.11548252425979896,2.3508414078621254e-05,0.0001295104682680237,3.3052764076091366e-05,0.0001426849129205321,0.028651604517211705
issuer_cntry_domicile_name_Luxembourg,-0.0005212656840705154,0.11303197856111331,-0.000404188343800127,0.11323962741802307,0.0,0.0,0.0,0.0,0.028168268993908216
issuer_cntry_domicile_name_Singapore,0.00026376899329653145,0.09628537273968214,9.562293495909424e-05,0.09784855447390564,0.0015942211165725472,0.0006138967552157482,0.0014283648019258188,0.0005552567108873197,0.024835632315805607
cntry_of_risk_AU,0.004786276601670136,0.07771716821438443,0.003915343025197582,0.08190851053873623,0.010568366001741391,0.003612983895980504,0.01018689637189001,0.0035362262095238184,0.024528971357390513
top_3_shareholder_location_Germany,-9.741186990026573e-05,0.09824144171346487,-8.127774600358295e-05,0.09530299296020357,0.0,0.0,0.0,0.0,0.024170718132220576
cntry_of_risk_US,0.02000350275471182,0.050260668750082074,0.015086745843303263,0.055596737081274106,0.0,0.018144463696620605,0.0,0.017224880065201165,0.022039624773899126
issuer_cntry_domicile_name_France,-0.0007456215828146928,0.08774657083992124,-0.0008315704955919933,0.08945606425232182,-0.0005697296858730883,-0.0004712606517997542,-0.0006342183001206703,-0.0004980845981269799,0.021681518722239484
yeo_joh_top_2_shareholder_percentage,0.0,0.04860040358259506,0.0,0.04821071582781491,0.0,0.035833198643072287,0.0,0.03477937251513961,0.020927961321077732
issuer_cntry_domicile_name_Norway,-0.0014150544936413546,0.08432974403887054,-0.0018115932960491188,0.08541378310911316,-0.0007268138356131493,-0.0001263142893356939,-0.0007428328337274692,-0.00010294947980781233,0.020602246114976137
shares_float,0.04186873855551012,0.0,0.04145184409734861,0.0,0.040101189557889216,0.0,0.03910089837768475,0.0,0.020315333823554087
gics_sector_Information Technology,-0.005823541132630538,0.09378667637164809,-0.00660772068409351,0.09433368034784465,-0.006227197082272773,-0.0013420404332346258,-0.006538768857177935,-0.0013463840541957706,0.020029338059485948
yeo_joh_top_3_shareholder_percentage,0.0,0.03276522522810993,0.0,0.03299429742247804,0.0,0.04440261678405601,0.0,0.04543028033747289,0.019449052471514607
gics_sub_ind_Application Software,0.002758830696627701,0.06676686207608136,0.002765860208784332,0.067047678119762,0.002191486959415756,0.0035491011223383164,0.0021925358218214176,0.0034128377587739345,0.0188356490954506
yeo_joh_return_usd,0.0,0.040962935319055926,0.0,0.041065829239255905,0.0,0.03404483799213154,0.0,0.033814185040753356,0.01873597344889959
gics_sector_Financials,0.0006856972720522325,0.06731980003276332,-0.0001360882847418976,0.06748749081945511,0.005267635395489278,0.00030483202602962225,0.005068806126555992,0.00046501364620590293,0.018307898379226195
cntry_of_risk_GB,0.012332008175216824,0.013482063877388883,0.015882900283673895,0.012013742728524679,0.029210913420240615,0.013860638840088457,0.029070068588092468,0.013940938733460629,0.017474159330835806
yeo_joh_vola,0.0,0.019159257427654997,0.0,0.018714739259446344,0.0,0.04334570397250063,0.0,0.043159322119085373,0.015547377847335918
issuer_cntry_domicile_name_Israel,0.0004591284013801489,0.05539890186703167,0.0004105909336125313,0.05631463598714661,0.0,0.0,0.0,0.0,0.014072907148646369
top_3_shareholder_location_France,0.00046483058126739474,0.05124704471987997,0.001091332148933055,0.049043679842162416,0.0021118084231582014,0.0024899562157606804,0.002112367361028289,0.002382172158134166,0.01386789893129052
return_usd,0.02805581135158012,0.0,0.028057797421905194,0.0,0.025936630084502244,0.0,0.02594032725815141,0.0,0.013498820764517371
shares_outstanding,0.02552549526592095,0.0,0.024838393147641656,0.0,0.028410070989515323,0.0,0.027689212849703704,0.0,0.013307896531597705
top_3_shareholder_location_Spain,-6.732013723476094e-05,0.04995008586591674,9.909795815467026e-05,0.04917578690297699,0.0,0.0,0.0,0.0,0.012394706323726705
issuer_cntry_domicile_name_Netherlands,0.000603829489018115,0.04573161892122779,0.0007926484506294518,0.04611552322838477,0.0011958950752476772,0.0003227898768418669,0.0011917576369975702,0.0003095394720588729,0.012032950268800763
top_3_shareholder_percentage,0.022651182665313484,0.0,0.021694456973069896,0.0,0.024941680070905782,0.0,0.02493407211154387,0.0,0.01177767397760413
top_3_shareholder_location_Sweden,0.00013207552151257574,0.04348560796589681,-3.3217909393257194e-05,0.04274384679050145,0.000998638438870536,0.0009758539834803682,0.0010341475383304876,0.0009497776505681288,0.011285841247470887
gics_sub_ind_Industrial Machinery & Supplies & Components,-0.004656505262435273,0.05004958633294922,-0.00446894454453729,0.05056772396805612,-0.001791669225378878,-0.0002355297347661378,-0.0017876368631741912,-0.00011052282236313493,0.010945812731043803
yeo_joh_hist_gross_profit_usd,0.0,0.022023895370464473,0.0,0.02214301842372137,0.0,0.01992733189533331,0.0,0.02021715862775786,0.010538925539659627
issuer_cntry_domicile_name_South Africa,0.0007406700675903655,0.0405575985506912,0.0007240092409818266,0.040507636270172155,0.0,0.0,0.0,0.0,0.010316239266179444
top_2_shareholder_location_Ireland,0.005001851463225948,0.021555407937858283,0.004713982251850046,0.021900657727599637,0.00690511377210602,0.006068905666885727,0.007066396492443672,0.006019187352055588,0.009903937833003116
cntry_of_risk_CH,-0.001431519207686549,0.0375058325390087,-0.0016713598243493278,0.034717382607684664,0.0,0.0033037279055883606,0.0,0.0028140405395870372,0.00940476306997911
top_3_shareholder_location_Japan,-0.0001854748254095151,0.03767850448173482,-0.00010973782667274001,0.03643695129912753,0.0,7.721154793468576e-05,0.0,2.949542964000296e-05,0.009240868763294349
vola,0.016514239745648494,0.0,0.014497281470183842,0.0,0.021505328592064554,0.0,0.021174097873111253,0.0,0.009211368460126018
issuer_cntry_domicile_name_China,0.0002638363475731542,0.0360653644888135,0.0001137216518840689,0.03655523130077073,0.00012355153545680065,0.00018327303751507483,0.00015983722185852756,0.00019595824395080008,0.009207596728477832
gics_sector_Industrials,0.005231159954613473,0.028406920175942874,0.006425128714863992,0.028572964915029142,0.0,0.001858366616396545,0.0,0.0014347090391944705,0.008991156177005062
gics_sub_ind_Diversified Banks,0.0062259567810122205,0.019069933281370056,0.006080088258049144,0.0192529675557933,0.008320328071923056,0.002018629838409358,0.008225149545268762,0.0020350380295868996,0.008903511420176601
cntry_of_risk_BE,-0.00010415775744944122,0.03259099706012063,-0.00012876450880849877,0.03139613199487362,4.2532105558823474e-05,0.0,4.539479571470384e-05,0.0,0.00798026671125123
gics_sub_ind_Rail Transportation,0.005229862541469366,0.01791264880444745,0.00599012581480225,0.018016222838004647,0.005201881766398497,0.0029294101086835057,0.005260334590477533,0.002862150667917207,0.007925329641525057
gics_sub_ind_Automobile Manufacturers,0.00017808387858918583,0.01906956083422311,0.000640611402811031,0.019121378085817643,0.003987983385222493,0.0060321336221415,0.004050454364694822,0.005963785936990995,0.007380498938811348
yeo_joh_net_income_usd,0.0,0.01572662097221078,0.0,0.01568043952054816,0.0,0.013695241645087087,0.0,0.013585082442706686,0.007335923072569089
net_income_usd,0.015232614030081248,0.0,0.014786296561030731,0.0,0.013942467956171845,0.0,0.01374195523876628,0.0,0.007212916723256263
gics_sub_ind_Transaction & Payment Processing Services,0.0007279620902359673,0.024309559355132414,0.002450941007251195,0.02451053087619067,0.00018539318182743126,0.0009793972952361729,0.00023170689683768008,0.00089394285382709,0.006786179194567328
gics_sub_ind_Regional Banks,-0.0008142547884381179,0.02736886818373042,-0.0011330176018492955,0.027349229227419503,0.0,0.00027254178585411903,0.0,0.00016805607535976818,0.00665142786025955
gics_sub_ind_Air Freight & Logistics,0.0015791411192899285,0.022666899355011805,0.00039697375272667034,0.022740723954841845,0.001564660162905529,0.0010765958096444872,0.001680912390845657,0.0009855841349559968,0.00658643633502774
gics_sub_ind_Building Products,-0.0006383390051433513,0.025509691040472314,-0.00046379413470407636,0.02570735803610751,3.843545249859748e-05,0.0008361767546082643,0.00010963922821241034,0.0008203438798331075,0.006489938906485597
gics_sub_ind_Interactive Media & Services,0.0023124500201318955,0.008934328768374068,0.0031033543149133315,0.009138377336769176,0.009334690087132624,0.0036228266379095043,0.009495529304607508,0.003733369808157294,0.006209365784749426
issuer_cntry_domicile_name_Austria,-0.00020973359324271134,0.024215606889298812,-4.275050880304665e-05,0.025123491143617505,0.0,0.00020761618054047082,0.0,0.00016240404588032664,0.00618207926966142
gics_sub_ind_Life & Health Insurance,-0.00023325454591412997,0.021860038579933426,-0.00018636027630071218,0.021937876325728023,0.0,0.0001705646578795572,0.0,0.00014808852556038587,0.005462119158360818
gics_sub_ind_Restaurants,0.004292831523480378,0.011762740816686235,0.0005431549674905667,0.011830154572717988,0.0037225319631623123,0.0033377707183473325,0.0038217974320518657,0.003306713853675758,0.005327211980951555
issuer_cntry_domicile_name_South Korea,-0.0013847917642748953,0.02361154885545892,-0.0015681858037969397,0.022627573944126046,-0.0007560727373023158,-0.00040479086746012525,-0.0007581219915678394,-0.00036487327819934023,0.005125285794622938
top_3_shareholder_location_United States,0.002618584470414809,0.00938690870762503,0.0022402095395591794,0.008996814375731221,0.005602018011125853,0.0030774413054823757,0.005482837506066906,0.0029582062178159507,0.005045377516727665
gics_sub_ind_Asset Management & Custody Banks,0.0012474608912650064,0.018843767635834542,0.001069744043401244,0.01875418454140292,0.0005499212725711189,-0.00048386389255140606,0.0005515655393662944,-0.0005142285484198816,0.005002318935358729
hist_rd_exp_usd,0.010797036916881641,0.0,0.010275141158478229,0.0,0.009330338827696927,0.0,0.009237813010204854,0.0,0.004955041239157706
top_3_shareholder_location_Hong Kong,-2.40988528751096e-05,0.019192275369065058,-6.6580029906671e-05,0.01878490485698563,0.0,0.0,0.0,0.0,0.004735812667908613
cntry_of_risk_FR,-0.0006918376343549748,0.018314238296965192,-0.0007560549866140298,0.01954776147488797,0.0,-0.00013826460444562593,0.0,-0.00010736157445960793,0.0045210601214973655
top_3_shareholder_location_Austria,7.6875224418127e-05,0.01855705914339517,6.554870872026442e-05,0.017935282029026854,-0.00026737518794995864,-0.00036585438690565073,-0.00039588914374029117,-0.00032538112656628205,0.004410033157549779
cntry_of_risk_DE,-8.544934822745099e-05,0.01862539092866272,-4.9584548371395254e-05,0.016771559674211466,0.0,3.8044449512053547e-06,0.0,0.0,0.004408215143903318
cntry_of_risk_FI,0.0029398383040786457,0.007211497476528194,0.002815375143958687,0.00739663851386656,0.0036168974119100807,0.0025397376257537798,0.0037073479278961876,0.00262419808845038,0.004106441311555314
issuer_cntry_domicile_name_Finland,0.0029398383040786236,0.007211497476528161,0.0028153751439587427,0.007396638513866216,0.0036168974119082375,0.0025397368594389904,0.0037073479278959655,0.0026241969847900504,0.004106441077808123
issuer_cntry_domicile_name_Ireland,-0.0004488980856974245,0.015775716443176692,-0.00040532121662016917,0.015763173830631715,-0.00012487675462212743,-0.00013530145478486412,-0.00012432417418809517,-0.00011772659743006786,0.003772805248808207
top_2_shareholder_location_Japan,0.010952095966075126,0.0006565371687959787,0.011089504412241335,0.00066421604090795,0.0,0.0033510952550641405,0.0,0.00337262859547669,0.0037607596798201527
top_1_shareholder_location_Canada,0.002556610523704095,0.010151609893794355,0.0034688716018090983,0.010130530751245714,0.0012763250526159897,0.0005198701287121854,0.001295332162926688,0.0004220255645141169,0.0037276469599152803
issuer_cntry_domicile_name_Bermuda,-0.00018584826245368057,0.01502057325274343,-0.0001241391396353708,0.015218523265468974,-9.873926591487114e-05,-0.00010928588904116632,-8.319006017930564e-05,-9.707291071757718e-05,0.0036926026237838034
gics_sub_ind_IT Consulting & Other Services,-0.0003134596897321318,0.014588070990549918,-0.00026063063922756593,0.014636569704196457,0.0,0.0,0.0,0.0,0.0035813187957233344
hist_book_px,0.017630298364223716,0.0,0.011183421097808177,0.0,-0.0002527064418313407,0.0,-0.0001508488582976697,0.0,0.00355127052023786
issuer_cntry_domicile_name_Spain,0.0012530429933864883,0.011429017729144175,0.0012613613435847437,0.01198349645923349,0.0006686221744239606,0.00033767832614314266,0.0006726291782641836,0.00030526086254074604,0.003488888633340116
cntry_of_risk_ES,0.0012530429933865772,0.011429017729144708,0.0012613613435847326,0.01198349645923429,0.0006686221744238829,0.0003376639227108735,0.0006726291782641836,0.0003052363729275975,0.0034888837717096054
cntry_of_risk_NO,-0.0001823222616331721,0.01272526977985169,-0.00042634083063743946,0.012365020222336053,0.000911034226848495,0.0007496501866816385,0.0009249006211162536,0.0007731931938269488,0.003480050642298809
"gics_sub_ind_Hotels, Resorts & Cruise Lines",0.000462065777684606,0.008823848263700662,0.002531419993817652,0.008781279367266248,0.0023137336981693514,0.001254791423680468,0.0023563752891776813,0.0010790771933672839,0.003450323875857994
yeo_joh_hist_asset_turnover,0.0,0.003463630972035281,0.0,0.003569598045880329,0.0,0.009202181737108817,0.0,0.009543108479959383,0.0032223149043729762
gics_sub_ind_Construction & Engineering,-0.00036618446090425083,0.012381235048042971,-7.248158549419959e-05,0.01250212198863283,0.0,8.329629853676135e-05,0.0,6.237186799079586e-05,0.0030737948946006136
top_3_shareholder_location_Switzerland,-1.2056124418391433e-05,0.012161261340388519,5.399811889816863e-06,0.011808476845654725,0.0,1.142763595274321e-06,0.0,0.0,0.0029955280796387426
gics_sub_ind_Motorcycle Manufacturers,8.876349120279237e-06,0.011129536071281365,2.185566711763176e-05,0.011205017415900121,0.0,0.0006643410258481364,9.984256779994593e-05,0.0005789031919911425,0.0029635465361323274
gics_sub_ind_Personal Care Products,0.0014691793169079536,0.005012848797362112,0.0011266980511157043,0.005024970945181029,0.003366113086486322,0.002153762322598418,0.00339341270764143,0.0021246769999679004,0.0029589577784076082
gics_sub_ind_Automotive Parts & Equipment,0.0017930248535095506,0.0053815248005461,0.0018186309564705793,0.005336544905194451,0.002527398472745623,0.0019588228120751227,0.002514774942500886,0.0019046440005543342,0.002904420717949581
gics_sub_ind_Environmental & Facilities Services,0.0001813884127270904,0.0005909066757465942,0.0001288581221819185,0.0005718854285818309,0.0069416704782599425,0.003056080410669848,0.0068590882795035776,0.0029265791760113014,0.0026570571229602626
gics_sub_ind_Systems Software,0.0005485958234551225,0.009981600018121872,0.0005477583147644016,0.010123748557162693,-3.078894245646113e-05,-6.8817909594898195e-06,-2.874776969706838e-05,-1.3265481348445629e-05,0.002640252341130328
gics_sub_ind_Trading Companies & Distributors,0.00030756772309038506,0.009474857737334386,0.00044789317094919847,0.0095147477973633,0.00023108631013710746,0.0003420015748378469,0.00023232256791959615,0.0003063046326583829,0.0026070976892862753
yeo_joh_shares_float,0.0,-0.002250704243219881,0.0,-0.0024852485166233064,0.0,0.013005280821217125,0.0,0.011888194809872698,0.0025196903589058293
gics_sub_ind_Semiconductor Materials & Equipment,0.00026632263192720717,0.00969230671192196,0.0001745331199260014,0.009753509890657786,0.0,1.3691964974105186e-05,0.0,0.0,0.0024875455399258825
cntry_of_risk_SG,0.0015257086262646436,0.005555693711981735,0.0013951435801205724,0.005233539130979348,0.0014159486195781334,0.0010524812577504706,0.001500024870780714,0.0009835473492944336,0.0023327608933437567
beta,0.008558319176994688,0.0,0.007566640336088615,0.0,0.0010021462659920099,0.0,0.001157884425410405,0.0,0.0022856237755607147
gics_sub_ind_Electrical Components & Equipment,4.310905567848078e-05,0.009005297092823928,0.000249695497914959,0.008952429733068312,0.0,0.0,0.0,0.0,0.00228131642243571
top_1_shareholder_location_Australia,0.0036582344130424603,0.002618439821319618,0.00368151621241426,0.0025925765910405187,0.0008525404357189404,0.0017511582643571443,0.0009597123749486736,0.0017397252878732395,0.002231737925089357
top_1_shareholder_location_Sweden,0.00033170680025628173,0.008067144906073253,-5.3718670042079976e-05,0.007948132941344287,0.00035120512254734895,6.205832186090276e-06,0.00034365320419029735,-1.9877799810830155e-06,0.002124042794571799
yeo_joh_shares_outstanding,0.0,-0.007469232788844227,0.0,-0.0075918211669801505,0.0,0.01634476074463568,0.0,0.015625170368606056,0.00211360964467717
top_2_shareholder_location_Norway,-0.0005490901357756428,0.007936099261459028,-0.0007526542837199002,0.008157378164718565,0.0,0.0008322145861539232,0.0,0.0008406595059296973,0.002058075887345709
top_3_shareholder_location_Bermuda,3.484659455765815e-07,0.008520036815759979,2.0287114298134235e-06,0.007908467324978463,0.0,0.0,0.0,0.0,0.002053860164764229
