model_name,RMSE,MAE,MSE,R2,n_companies,n_features_used,model_type,sector,type
Sector_LightGBM_Consumer Discretionary_Base,2.112564488297985,1.8374176913654026,4.462928717217727,0.08950785485200008,264,362,Sector LightGBM,Consumer Discretionary,Base
Sector_LightGBM_Consumer Discretionary_Yeo,2.0657717771967405,1.7264546960033924,4.267413035462579,0.12939544969628802,264,362,Sector LightGBM,Consumer Discretionary,Yeo
Sector_LightGBM_Consumer Discretionary_Base_Random,2.0464640566898993,1.7649702968506513,4.1880151353236785,0.14559359423281604,264,363,Sector LightGBM,Consumer Discretionary,Base+Random
Sector_LightGBM_Consumer Discretionary_Yeo_Random,2.0957715289670875,1.8271788806207654,4.392258301629044,0.10392548559738957,264,363,Sector LightGBM,Consumer Discretionary,Yeo+Random
Sector_LightGBM_Consumer Staples_Base,2.0216389943356172,1.5510775356696211,4.087024223418325,-0.210311753091595,157,362,Sector LightGBM,Consumer Staples,Base
Sector_LightGBM_Consumer Staples_Yeo,1.9153847497526826,1.484310090579188,3.6686987395851465,-0.08643085050238586,157,362,Sector LightGBM,Consumer Staples,Yeo
Sector_LightGBM_Consumer Staples_Base_Random,2.0407852171856975,1.5739595630640664,4.164804302683674,-0.23334517274980104,157,363,Sector LightGBM,Consumer Staples,Base+Random
Sector_LightGBM_Consumer Staples_Yeo_Random,1.959115353338796,1.5140662598218877,3.8381329676877955,-0.1366062902449774,157,363,Sector LightGBM,Consumer Staples,Yeo+Random
Sector_LightGBM_Energy_Base,2.4427945753991587,1.8101035074034748,5.9672453375995556,0.1461824696877112,98,362,Sector LightGBM,Energy,Base
Sector_LightGBM_Energy_Yeo,2.407971886280561,1.797895238992054,5.798328605117563,0.17035175705510686,98,362,Sector LightGBM,Energy,Yeo
Sector_LightGBM_Energy_Base_Random,2.457553900674121,1.8657263055032391,6.039571174718588,0.13583379720433997,98,363,Sector LightGBM,Energy,Base+Random
Sector_LightGBM_Energy_Yeo_Random,2.4430232735212547,1.8520922071811516,5.968362714966508,0.14602259082738211,98,363,Sector LightGBM,Energy,Yeo+Random
Sector_LightGBM_Financials_Base,1.886139821948993,1.4934914185008752,3.5575234279417796,0.07076782966467376,352,362,Sector LightGBM,Financials,Base
Sector_LightGBM_Financials_Yeo,1.887787740498956,1.4859634472560432,3.563742553178154,0.06914338182672197,352,362,Sector LightGBM,Financials,Yeo
Sector_LightGBM_Financials_Base_Random,1.8489760576487202,1.4499541198138866,3.4187124617582034,0.10702552915303232,352,363,Sector LightGBM,Financials,Base+Random
Sector_LightGBM_Financials_Yeo_Random,1.8690198580069146,1.462197495385562,3.4932352296241875,0.08756003448345306,352,363,Sector LightGBM,Financials,Yeo+Random
Sector_LightGBM_Health Care_Base,2.028043742796969,1.7155433921696426,4.112961422697939,-0.06726463078364486,195,362,Sector LightGBM,Health Care,Base
Sector_LightGBM_Health Care_Yeo,1.9838038078257734,1.6743982175963077,3.935477547944038,-0.02120967363915982,195,362,Sector LightGBM,Health Care,Yeo
Sector_LightGBM_Health Care_Base_Random,2.164544247611079,1.8180253647236821,4.685251799866212,-0.2157671853465999,195,363,Sector LightGBM,Health Care,Base+Random
Sector_LightGBM_Health Care_Yeo_Random,2.0613618775352633,1.7214100872487028,4.249212790155705,-0.10262024209112752,195,363,Sector LightGBM,Health Care,Yeo+Random
Sector_LightGBM_Industrials_Base,1.5496783939798187,1.1722247748690147,2.40150312476787,-0.021521611859889545,440,362,Sector LightGBM,Industrials,Base
Sector_LightGBM_Industrials_Yeo,1.5904681519235402,1.199380042823509,2.5295889422830813,-0.07600516818554603,440,362,Sector LightGBM,Industrials,Yeo
Sector_LightGBM_Industrials_Base_Random,1.5759951195988546,1.2075779964289346,2.483760616999408,-0.05651128361392299,440,363,Sector LightGBM,Industrials,Base+Random
Sector_LightGBM_Industrials_Yeo_Random,1.5747795594918097,1.18171974740297,2.4799306609932183,-0.05488214443336337,440,363,Sector LightGBM,Industrials,Yeo+Random
Sector_LightGBM_Information Technology_Base,2.0088473106198856,1.6496456166753424,4.035467517384748,-0.21021530721293913,227,362,Sector LightGBM,Information Technology,Base
Sector_LightGBM_Information Technology_Yeo,1.9779154412597264,1.576426228704447,3.9121494927736586,-0.17323288562320438,227,362,Sector LightGBM,Information Technology,Yeo
Sector_LightGBM_Information Technology_Base_Random,2.026709382831417,1.6209128921861449,4.107550922456904,-0.23183273811494476,227,363,Sector LightGBM,Information Technology,Base+Random
Sector_LightGBM_Information Technology_Yeo_Random,2.0165362678126137,1.5483694734879174,4.0664185194036255,-0.21949734857628966,227,363,Sector LightGBM,Information Technology,Yeo+Random
Sector_LightGBM_Materials_Base,1.570163298342365,1.35517446287413,2.4654127834613746,0.36473060195855733,190,362,Sector LightGBM,Materials,Base
Sector_LightGBM_Materials_Yeo,1.5735760464984327,1.2938700210997718,2.476141574113638,0.3619660862453683,190,362,Sector LightGBM,Materials,Yeo
Sector_LightGBM_Materials_Base_Random,1.5831539701757762,1.3908867584212927,2.506376493283322,0.3541753750794311,190,363,Sector LightGBM,Materials,Base+Random
Sector_LightGBM_Materials_Yeo_Random,1.5432931248265271,1.3086182365486847,2.3817536691368266,0.3862872660409996,190,363,Sector LightGBM,Materials,Yeo+Random
Sector_LightGBM_Real Estate_Base,2.4025502214756926,2.044567624956964,5.7722475667129,-0.09535467594922054,52,362,Sector LightGBM,Real Estate,Base
Sector_LightGBM_Real Estate_Yeo,2.4025502214756926,2.044567624956964,5.7722475667129,-0.09535467594922054,52,362,Sector LightGBM,Real Estate,Yeo
Sector_LightGBM_Real Estate_Base_Random,2.4025502214756926,2.044567624956964,5.7722475667129,-0.09535467594922054,52,363,Sector LightGBM,Real Estate,Base+Random
Sector_LightGBM_Real Estate_Yeo_Random,2.4025502214756926,2.044567624956964,5.7722475667129,-0.09535467594922054,52,363,Sector LightGBM,Real Estate,Yeo+Random
Sector_LightGBM_Utilities_Base,1.3825086589970836,1.0543487097486697,1.9113301922019144,0.1803486962143176,103,362,Sector LightGBM,Utilities,Base
Sector_LightGBM_Utilities_Yeo,1.357266960666524,1.0307277298177782,1.8421736025169433,0.2100056801995681,103,362,Sector LightGBM,Utilities,Yeo
Sector_LightGBM_Utilities_Base_Random,1.397759311311116,1.0607995718147922,1.953731092356925,0.1621655726307869,103,363,Sector LightGBM,Utilities,Base+Random
Sector_LightGBM_Utilities_Yeo_Random,1.3601737015464688,1.0229336411504026,1.8500724983786223,0.20661833231069615,103,363,Sector LightGBM,Utilities,Yeo+Random
